	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:0043401	123	35	2.61776195072612e-08	7.33981633571535e-08	0.399812689951394
GO:0006417	319	52	0.000746318165240934	0.00122558301243564	0.745398835418874
GO:0006415	93	0	1	1	0.462455349087399
GO:0043410	477	177	9.21447896221387e-56	3.34205783655328e-55	0.00158211944743406
GO:0043413	247	11	1	1	0.295366567826462
GO:0043414	217	17	0.988382253242265	1	0.759298038987416
GO:0006486	247	11	1	1	0.295366567826462
GO:0006487	69	4	1	1	0.816739582321999
GO:0006493	103	3	1	1	0.428632050605284
GO:0006497	67	2	1	1	0.618804932571463
GO:0006469	232	92	1.14744417185078e-31	4.46878948109442e-31	0.0297637643560207
GO:0006470	191	34	0.00142673560214387	0.00255662928398379	0.428616124017273
GO:0006475	116	14	0.364561463489115	0.483820604612687	0.846494181999213
GO:0006476	60	14	0.00361136027999857	0.00844082002310146	0.987461992168058
GO:0006473	133	18	0.169851812149977	0.243365542247104	0.422518545294453
GO:0006479	120	13	0.542699861867378	0.669982534205349	0.629281232488944
GO:0018394	112	16	0.136691071322919	0.206730988907535	0.783098351239801
GO:0018393	110	14	0.289702716462781	0.399730300291554	0.89187419276135
GO:0031349	359	124	2.21850450443536e-35	7.56517181604001e-35	0.000289933728045689
GO:0031341	54	48	2.60857252764237e-40	2.25132105829243e-39	0.000479014221125102
GO:0031348	142	108	5.47475634365843e-76	4.06635394956034e-75	5.82811016760393e-06
GO:0031345	147	68	2.3372383266487e-28	1.05772815830958e-27	0.0274968529533134
GO:0031346	307	94	1.11579074701505e-22	3.36357958973833e-22	0.0501598234967838
GO:0031338	61	14	0.00422388367700241	0.00972078690414975	0.753467931980239
GO:0031333	112	27	2.93509886699207e-05	7.05830797564858e-05	0.285218951518168
GO:0031330	81	27	2.97760292921892e-08	9.76458149648198e-08	0.13855704890697
GO:0031331	266	74	1.37933986459433e-15	3.79835868694755e-15	0.290232754559286
GO:0070988	57	7	0.440061715725559	0.616644202209342	0.72668765585198
GO:0031334	201	56	4.0351083109184e-12	1.11762442886431e-11	0.164530055441832
GO:0006399	181	1	1	1	0.369370547864688
GO:0006397	414	33	1	1	0.887929408028632
GO:0031329	375	106	1.8695091117457e-22	5.20299669308986e-22	0.16547147570835
GO:0070972	110	4	1	1	0.981885907136365
GO:0070925	428	56	0.0439527167342071	0.0589494020406111	0.840664095846202
GO:0031398	174	41	4.87071071102531e-07	1.13599970722995e-06	0.969913253075585
GO:0031396	245	68	2.28744909362738e-14	6.27362841280283e-14	0.388467092078108
GO:0031397	128	34	2.51109958689593e-07	6.63251430717834e-07	0.731059335321129
